arm,audit_seconds,basis_reconstruction_seconds,boundary_terminal_seconds,cn_high_delta_rmse,cn_high_price_rmse,cn_high_stable_gamma_rmse,coefficient_inference_seconds,convexity_violation_rate,high_boundary_conditional_mae,high_boundary_conditional_rmse,high_boundary_false_count,high_boundary_found_rate,high_boundary_missed_count,high_boundary_near_price_mae,high_boundary_near_price_max_abs_error,high_boundary_near_price_rmse,high_boundary_shape_error,high_continuation_price_mae,high_continuation_price_max_abs_error,high_continuation_price_rmse,high_delta_rmse,high_exercise_f1,high_exercise_precision,high_exercise_price_mae,high_exercise_price_max_abs_error,high_exercise_price_rmse,high_exercise_recall,high_maturity_near_price_mae,high_maturity_near_price_max_abs_error,high_maturity_near_price_rmse,high_price_mae,high_price_max_abs_error,high_price_relative_l2,high_price_rmse,high_stable_gamma_rmse,high_strict_interior_price_mae,high_strict_interior_price_max_abs_error,high_strict_interior_price_rmse,high_strike_near_price_mae,high_strike_near_price_max_abs_error,high_strike_near_price_rmse,modes,monotonicity_violation_rate,normalized_complementarity_max,normalized_equation_violation_max,normalized_full_lcp_residual_max,normalized_full_lcp_residual_p95,normalized_obstacle_violation_max,option_type,oracle_lcp_p95,prediction_seconds,projected_obstacle_violation,projection_seconds,raw_negative_premium_max,reduction_boundary_conditional_mae,reduction_boundary_conditional_rmse,reduction_boundary_false_count,reduction_boundary_found_rate,reduction_boundary_missed_count,reduction_boundary_near_price_mae,reduction_boundary_near_price_max_abs_error,reduction_boundary_near_price_rmse,reduction_boundary_shape_error,reduction_continuation_price_mae,reduction_continuation_price_max_abs_error,reduction_continuation_price_rmse,reduction_delta_rmse,reduction_exercise_f1,reduction_exercise_precision,reduction_exercise_price_mae,reduction_exercise_price_max_abs_error,reduction_exercise_price_rmse,reduction_exercise_recall,reduction_maturity_near_price_mae,reduction_maturity_near_price_max_abs_error,reduction_maturity_near_price_rmse,reduction_price_mae,reduction_price_max_abs_error,reduction_price_relative_l2,reduction_price_rmse,reduction_stable_gamma_rmse,reduction_strict_interior_price_mae,reduction_strict_interior_price_max_abs_error,reduction_strict_interior_price_rmse,reduction_strike_near_price_mae,reduction_strike_near_price_max_abs_error,reduction_strike_near_price_rmse,regime_id,seed,split
P0,0.00835962500423193,3.104202914983034e-05,0.00016024999786168337,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.0,0.12688381137579,0.28921120177778986,0.33270604916001256,0.0,0.9916666666666667,1.0,0.00014909791822354893,0.0004614158225160203,0.00022224248117457598,0.01351792662873228,0.0008723656391921085,0.0030376280749732356,0.001135122977149575,0.0034699416960340466,0.83169017644977,0.9162303664921466,7.670230895299359e-05,0.0010026837784604683,0.0002184436671342512,0.7614330679503796,6.782329333211731e-05,0.0030376280749732356,0.0002500080475478452,0.00028533228810660076,0.0030376280749732356,0.0004054799949135284,0.0006107887245732036,0.048831044634066526,0.00026428909676301716,0.0026563640645588943,0.0005748213860999947,0.0013739479774897082,0.0030376280749732356,0.001501616329035187,8,0.037396694214876035,1.1164721452613656e-07,7.841537101316232e-05,7.841537101316232e-05,2.8013863001560955e-05,0.0,call,1.897592451378751e-05,0.00019858393352478743,0.0,7.291906513273716e-06,0.001371938522115583,0.2954902052162502,0.3402442959559272,0.0,0.9916666666666667,1.0,0.00016002448914798537,0.0004620541438214998,0.00023058203677364534,0.013567748901005997,0.0007776481578813474,0.002635205919123418,0.0010347981113302443,0.003035597745968988,0.8314504280865291,0.9141138464966024,7.711822599484909e-05,0.001002683705415552,0.00021908501792816264,0.7624976770117079,4.655454378867259e-05,0.000573260853694954,0.00012244913446580894,0.0002627172701713211,0.002635205919123418,0.0003749400436008629,0.0005647850667975865,0.0503915689768447,0.0002600839091847544,0.002635205919123418,0.0005655367202526798,0.0009067737889734408,0.0023905929223177885,0.0010767677377533447,call_T050_s020_r005_q003,17,validation
P0,0.00845845800358802,3.2667070627212524e-05,0.00012637500185519457,0.0017976927601054055,0.0001235832026886244,0.01071621845956862,0.0,0.25418431835544136,2.3967333404997886,2.52569284836291,0.0,0.15,102.0,6.858098549779795e-05,0.00048618113452400524,0.00013391706144173684,0.546405437707647,0.0005262164631916242,0.0027793105817103796,0.000710524719769362,0.003107321196999749,0.7448393679115456,0.954860688648254,0.00011446757711075675,0.0014293877422740305,0.000292787575165533,0.6105492453710907,5.348519914166779e-05,0.0027793105817103796,0.00021183463001380338,0.00016472338336897069,0.0027793105817103796,0.00024562394629839407,0.00036997317111511844,0.03955093237147584,0.0001476520708351502,0.0014423133522112018,0.0003326015586005505,0.0008680105086318777,0.0027793105817103796,0.001010496232891213,8,0.043044077134986224,1.3415833598921394e-07,4.164024085306038e-05,4.164024085306038e-05,2.6226732448033217e-05,0.0,call,1.0886239317729032e-05,0.00016387610230594873,0.0,4.834029823541641e-06,0.00457570528542138,2.3983386857238425,2.527657038615839,0.0,0.15,102.0,8.2861434887582e-05,0.0006232762276976722,0.00015770997504870954,0.5441472137767456,0.00038190574697614065,0.0014308729322244362,0.0005140403129441086,0.002506346922669629,0.7495009031276738,0.9592407835503103,0.00011173212171519049,0.0014293871778248356,0.00029017569626948493,0.6150245728996021,3.932620221958044e-05,0.0006826719470631576,0.00011845871428142418,0.00014535389244297215,0.0014308729322244362,0.00021676666884868013,0.0003265064514836596,0.039147448561557815,0.00014365305138414262,0.0014293871778248356,0.00032523441285292045,0.0004754678959639941,0.0014308729322244362,0.0006200353023347985,call_T050_s020_r005_q006,17,validation
P0,0.008317333064042032,3.108300734311342e-05,0.0001214159419760108,0.0018570622461789616,0.0001280017351247677,0.010645710119044414,0.0,0.38912424473921803,2.6465354265318917,2.651195138953958,0.0,0.13333333333333333,104.0,0.00034061260919712976,0.0025373118340740724,0.0005165659096564353,0.04030420240436551,0.00054082841340416,0.002676364424392924,0.0006518212771307906,0.004593428014152471,0.20296621807195828,1.0,0.00128308674050789,0.004436768631462362,0.001805675510520474,0.11294513220235367,0.0001735410437855645,0.002676364424392924,0.00031637366943142485,0.00120425252845637,0.004436768631462362,0.0011420848308979152,0.001720261521036035,0.05440645759421916,0.0013848827232233539,0.004436768631462362,0.0018679013532445915,0.0004285381826514871,0.002676364424392924,0.0005413752802228941,8,0.03884297520661157,2.399506795419639e-07,1.6734610541306215e-05,1.6734610541306215e-05,1.174573791078528e-05,0.0,call,2.7814348131968533e-05,0.00015737395733594894,0.0,4.875008016824722e-06,0.0018050994959581887,2.65104471491411,2.655747423764188,0.0,0.13333333333333333,104.0,0.0007174677143563976,0.0015575286855324388,0.0008937992843899246,0.040347365272785006,0.0006439305153793831,0.0015874012877025445,0.0007747001408937736,0.004390031981436406,0.20310567541569327,1.0,0.0012814155882709375,0.004436768631462362,0.001805277092220168,0.11303150810645457,0.00016863472147628486,0.0011135318890508894,0.0002801082091664317,0.0012132737851785749,0.004436768631462362,0.0011450754163159435,0.0017247652079926982,0.0561087064754653,0.001380854705205936,0.004436768631462362,0.0018670567527880107,0.0005841084899663448,0.0013283335957399722,0.0007055028140262751,call_T050_s020_r005_q010,17,validation
P0,0.008366417023353279,2.6667024940252304e-05,0.00011991697829216719,0.0008667010949011577,8.10139253777321e-05,0.0034210998741864037,0.0,0.000555594138481839,0.33310309587820075,0.34131382869327553,0.0,1.0,0.0,4.54149541337101e-06,2.8351690649630612e-05,7.97368874724626e-06,0.02724596617037037,0.0005034726097794599,0.002391603461181587,0.0006479630754030205,0.0029119904639766064,0.9105831533477321,0.8358445678033307,7.650591670082493e-09,9.788509527029757e-07,6.3532154114802e-08,1.0,5.2942175688099054e-05,0.002391603461181587,0.00017864160036705078,0.00017727435809887976,0.002391603461181587,0.0002551854789631077,0.00038448484517515674,0.04708625179148535,0.00016670034130876357,0.001754137501454367,0.0003729217362281518,0.0008212882808073005,0.002391603461181587,0.0008515436731416331,8,0.0,2.4068701438214086e-07,5.8909836168322856e-05,5.8909836168322856e-05,5.1989882499527705e-05,0.0,call,1.0481170104788206e-05,0.00015133398119360209,0.0,4.749977961182594e-06,0.0035070283187444463,0.3273867129421388,0.3359587559817325,0.0,1.0,0.0,7.317213183943849e-06,4.1890350768403195e-05,1.2586876026198342e-05,0.027254355327412595,0.0004533367227243951,0.0017582489866545536,0.0005945975963927213,0.0027374805937465272,0.9095887778631822,0.8341704114899992,7.963413314540731e-09,9.96901731049849e-07,6.454487809787926e-08,1.0,3.4703105241447856e-05,0.0006843112264548479,0.00010113089251790565,0.00016021034034627887,0.0017582489866545536,0.00023460007959434474,0.00035346872701997337,0.046913277502688595,0.00016049736370820738,0.0017582489866545536,0.0003614811943925701,0.0005310742249835117,0.0010010908500549809,0.0005834985702511215,call_T050_s040_r005_q003,17,validation
P0,0.008419333025813103,2.845795825123787e-05,0.00012191699352115393,0.0008601893903907523,8.49573851695777e-05,0.003351576068902474,0.0,0.00013889853462045976,0.05798780462625629,0.06164206666926124,0.0,1.0,0.0,2.554779249731044e-05,0.00016172460675786815,4.735060601120216e-05,0.02438766688202172,0.0002661654731401745,0.002191069629593336,0.00033421970128431574,0.0023328135446875112,0.9638020833333333,0.9302890657729367,6.426959335968405e-09,3.1303311469055295e-06,6.699796961423412e-08,0.9998199009455201,1.9118691793662854e-05,0.002191069629593336,0.00011419279378679012,6.428744514767317e-05,0.002191069629593336,0.0001090268411929403,0.0001642490370089174,0.043652937127229674,5.365665513601883e-05,0.0008194227961817916,0.00014072526060226006,0.00044313527600529413,0.002191069629593336,0.0004973523154527477,8,0.0,1.9096275284746797e-07,6.86559918531831e-05,6.86559918531831e-05,5.87006115696513e-05,0.0,call,9.621846246728113e-06,0.00015529198572039604,0.0,4.917033948004246e-06,0.004641729086689229,0.047729029738717205,0.0524492640606176,0.0,1.0,0.0,5.412618650239981e-05,0.00025799034449902614,9.311298406150889e-05,0.024693948504440254,0.0002533182762120236,0.0008309564227261784,0.0003138444094549961,0.0021669056459270937,0.9635771651834166,0.9298701298701298,6.871417388254825e-09,3.1303311469055295e-06,6.800807971384658e-08,0.9998198198198198,1.4671425056601469e-05,0.0004535530696350154,6.190074373851026e-05,6.127151757392154e-05,0.0008309564227261784,0.00010245265100366314,0.0001543448069692687,0.04318201920375736,5.921419061142543e-05,0.0008309564227261784,0.0001541427847095482,0.00024100251714908992,0.0006240774938534449,0.000292921825278316,call_T050_s040_r005_q006,17,validation
P0,0.008541916962713003,2.833292819559574e-05,0.00013475003652274609,0.0008658074932003436,8.826364151361155e-05,0.003358174635405141,0.0,0.24626710188207515,2.5443952080377064,2.5482196801723167,0.0,0.15833333333333333,101.0,0.0007468345106863706,0.0026244095568723758,0.0010263621490402307,0.03098963698390392,0.0005660461861006279,0.003424505678867873,0.0009189028519008572,0.003919318078523837,0.4090789818945159,0.8379467884977156,0.000630679714859152,0.0024911639994917856,0.0009591225662225856,0.2705892562700686,9.061787165261293e-05,0.0020321921928879334,0.00016648477246915058,0.0006169151261924573,0.003424505678867873,0.0006311006244790977,0.000950699837095919,0.05675683017843304,0.0006941846133491304,0.003424505678867873,0.00102270067975917,0.00029410240274981085,0.0020321921928879334,0.0003377534330761562,8,0.0,1.321092340522558e-07,1.7229899438039754e-05,1.7229899438039754e-05,1.0757367593445226e-05,0.0,call,1.6357323157095165e-05,0.00016791699454188347,0.0,4.834029823541641e-06,0.0008316585275891276,2.555954528978205,2.5598310277249032,0.0,0.15833333333333333,101.0,0.0010104421277118802,0.0028766967955460854,0.0012884922460034585,0.032062669141528215,0.0006739689834080004,0.003500368036242929,0.0009885489006472787,0.003950457041341659,0.40393442622950826,0.8277344799785004,0.0006343604278648959,0.0024911639994917856,0.0009618877709395099,0.2671523982999393,9.939753464400433e-05,0.0007178549748636937,0.0001720638136362043,0.0006427793763554457,0.003500368036242929,0.0006423309444720948,0.0009676161741360704,0.05707909330935659,0.0007058954259406477,0.003500368036242929,0.001029886979091705,0.0005719354331003363,0.0008047790904805799,0.0005967205685426602,call_T050_s040_r005_q010,17,validation
P0,0.008494082954712212,2.7416972443461418e-05,0.00011966598685830832,0.00046804073533829576,6.40459525211666e-05,0.0015359652041738777,0.0,0.002222376553927356,0.19014936199773588,0.24541109154622692,0.0,1.0,0.0,0.0003643812258974505,0.0017976646162638499,0.0006229692213569427,0.01818981007469818,0.0005027724530150666,0.0024722710617248733,0.0006904741914025705,0.0019493544226891106,0.9147471206810215,0.8877414651925647,2.4532167487309095e-05,0.0016315489779075154,0.00013441933679158755,0.9434473854099419,7.741077592461723e-05,0.001349594097376023,0.00023077986131885315,0.00024978624910737714,0.0024722710617248733,0.00032089232077968133,0.00048385170904140825,0.0265795714196252,0.00025797027124057194,0.0024722710617248733,0.0004979144134242706,0.0005448616561301963,0.001349594097376023,0.0006521838859495199,8,0.0,1.9254899036617248e-07,2.5888615367669243e-05,2.5888615367669243e-05,1.3644009172591164e-05,0.0,call,8.628153126433316e-06,0.0001517909113317728,0.0,4.707952030003071e-06,0.0006891898213083178,0.19201770721154976,0.24850978248310626,0.0,1.0,0.0,0.000388567913517332,0.001797339878503168,0.0006512514916384474,0.018889631092348966,0.00046839173057804925,0.002474091847290527,0.0006600884874002714,0.0018706464550866408,0.9119138546296875,0.8848256590936703,2.6434331760476694e-05,0.0016315489779075154,0.00014140991758298857,0.9407129940583828,5.622897388741564e-05,0.0007422656187942023,0.0001485189346713316,0.00023468951203794636,0.002474091847290527,0.00030815036355795624,0.0004646381564740696,0.026898079466111065,0.0002479179603453631,0.002474091847290527,0.000486954116791647,0.00038304018287952665,0.0007753999397607791,0.0004471728435616298,call_T050_s060_r005_q003,17,validation
P0,0.00820316607132554,2.7499976567924023e-05,0.00012070802040398121,0.00046433059574679667,6.793392789111921e-05,0.0015278557528732417,0.0,0.0004861448711716091,0.09424204682314954,0.09910574695983304,0.0,1.0,0.0,1.30822442921946e-05,8.345019640842999e-05,2.413196781270191e-05,0.029173788275679315,0.000629803823738618,0.002700237550838258,0.0008824214774207807,0.0028345137107513743,0.9463409700096092,0.898923904688701,1.3079294244345663e-08,1.1592745867261556e-05,2.3275879940293795e-07,0.999038974906567,3.154967909684779e-05,0.0011423304611558951,0.00011537812404305167,0.0002269631488037393,0.002700237550838258,0.00035142977068939213,0.0005297160352907421,0.042076310039631325,0.00025839696105691155,0.002700237550838258,0.0005746395552421915,0.00019553698551651996,0.0011423304611558951,0.00025100937526049516,8,0.0,1.3151338073808074e-07,0.00010058679021135299,0.00010058679021135299,8.899728512730893e-05,0.0,call,2.0874243091094777e-05,0.00015304097905755043,0.0,4.832982085645199e-06,0.004890216819921362,0.08260705665762931,0.0893016917505143,0.0,1.0,0.0,3.187527737499573e-05,0.00014861487710959853,5.241002962497818e-05,0.02995190772476052,0.0006365399429323995,0.0027493396352162858,0.0009056889525422742,0.002809043721655697,0.9471928849360756,0.9004611837048424,1.328466313370178e-08,1.1592745867261556e-05,2.3257295020176436e-07,0.9990406140070355,1.665637957978651e-05,0.00046517648472524376,6.181394143940984e-05,0.0002286950838910783,0.0027493396352162858,0.0003601496411006562,0.0005428584440969195,0.04184207869308321,0.0002621742341562738,0.0027493396352162858,0.0005901103990946699,0.00015073450189270304,0.00043226331834098075,0.00018616350751145833,call_T050_s060_r005_q006,17,validation
P1,0.008475542068481445,3.962509799748659e-05,0.0001614170614629984,0.001815701238613858,0.00011849405764805578,0.012585086154813432,0.010099667008034885,0.21300090284047504,1.5638529929190756,1.6841150868376877,0.0,0.7666666666666667,28.0,2.622053976387336e-05,9.788680736455557e-05,4.116510648445659e-05,0.2304931503730201,0.0003575929205101592,0.002866353535111477,0.0005090529562779893,0.0038252371854805667,0.7449270501425458,0.9401721461831523,3.386893725285948e-05,0.00039390418512036575,8.499488353794685e-05,0.6168302166265507,3.52329334224431e-05,0.002866353535111477,0.0002051236939335195,0.00011875223564263979,0.002866353535111477,0.00017970632370221905,0.00027069793239793574,0.051967533692513765,0.00011069371171127643,0.001439033871110642,0.0002509722275577524,0.0005768111479309146,0.002866353535111477,0.0006976392731805025,8,0.03595041322314049,9.863930134019386e-08,3.319518822677915e-05,3.319518822677915e-05,1.5110577329301959e-05,0.0,call,1.897592451378751e-05,0.010307751130312681,0.0,7.041962817311287e-06,0.0004646189483374034,1.5711195843323162,1.6915737614684407,0.0,0.7666666666666667,28.0,3.41302286300633e-05,0.00011058844195543927,4.831426588482559e-05,0.2321891339980049,0.00032341685869750387,0.0015151278799943732,0.0004712728121475031,0.003017100186409778,0.7408818421200067,0.9329758713136729,3.404116403868729e-05,0.0003939041436569058,8.517119628872082e-05,0.6143839435049248,1.701529479788397e-05,0.00028092562527935305,4.6203286350687206e-05,0.00011070862661511988,0.0015151278799943732,0.0001681751539060169,0.00025332801111426965,0.04728360412481087,0.0001137895779592912,0.0015151278799943732,0.00026231690472574204,0.00031529150793100817,0.0007387920810088267,0.00038416045218545757,call_T050_s020_r005_q003,17,validation
P1,0.008753499947488308,3.450002986937761e-05,0.00013816601131111383,0.0017976927601054055,0.0001235832026886244,0.01071621845956862,0.0004229999613016844,0.221751510521564,2.385725240007824,2.516978293987077,0.0,0.21666666666666667,94.0,0.0001925203598005236,0.001042920270007408,0.00033264528092575625,0.4331196707832911,0.00036492832909468335,0.002544160126553215,0.0005236221825347721,0.003081565930154659,0.7682660597333828,0.9533141210374639,1.3155876534677007e-05,0.0005537526871384202,2.942111186960219e-05,0.643379492764898,1.7262277549993146e-05,0.002544160126553215,0.00015356296378843273,5.6091288919400146e-05,0.002544160126553215,0.00012282066086071218,0.0001849996714973767,0.0480011408019976,3.2347986015122876e-05,0.001175771367707551,9.945845858909374e-05,0.0006180663476585042,0.002544160126553215,0.0007634680617870511,8,0.025,1.1074480180692196e-07,2.162095081458842e-05,2.162095081458842e-05,1.1439455907447862e-05,0.0,call,1.0886239317729032e-05,0.0006012489320710301,0.0,5.582929588854313e-06,0.0008217230714197658,2.3905477828950334,2.5225773102082063,0.0,0.21666666666666667,94.0,0.0003035412392261251,0.0012320958461073672,0.0004566400831198619,0.43507022651068095,0.00031127464402336567,0.0012320958461073672,0.0004180371957461811,0.0025696534654179337,0.7638410719270495,0.9462824207492795,1.398967258051302e-05,0.0007781610783451631,3.599559781717153e-05,0.6403775645526172,1.2446570672583349e-05,0.0007026162527677465,6.891172147192488e-05,5.0985316181966304e-05,0.0012320958461073672,0.00010042602943349727,0.0001512674742896682,0.04550895999914713,3.446880806556862e-05,0.001181657045207396,0.00010551893783586943,0.0004070426784035794,0.0011644107072260323,0.0004942155390163327,call_T050_s020_r005_q006,17,validation
